sample_id,style,category,R_rule,J1,J2,J3,J_mean,composite,harmony,voice,rhythm,structure,dynamics,gate_repetition,gate_density,gate_balance,gate_spread,note_count,track_count,duration_bars,error,intercepted_by
adversarial_01,pop,adversarial,43.92177001425831,87.0,15.0,80.0,60.7,50.6,87.7,74.0,81.7,68.0,83.6,0.553,1.0,1.0,1.0,551,4,28,,G_repetition
adversarial_02,classical,adversarial,18.50487753035908,63.0,0.0,60.0,41.0,27.5,93.6,73.2,100.0,68.0,93.8,0.54,1.0,0.4,1.0,381,4,32,,G_repetition+G_balance
adversarial_03,jazz,adversarial,7.6634391115476435,50.0,66.0,90.0,68.7,32.1,84.9,43.2,86.0,93.0,59.9,0.324,0.5,0.624,1.0,542,4,40,,G_repetition+G_density+G_balance
adversarial_04,lofi,adversarial,63.96085877224318,55.0,10.0,80.0,48.3,57.7,76.0,100.0,93.0,67.8,100.0,0.753,1.0,1.0,1.0,362,4,24,,G_repetition
classical_basic_01,classical,basic,77.52919163528327,30.0,95.0,77.5,67.5,73.5,91.8,73.0,89.5,51.0,78.5,0.993,1.0,1.0,1.0,133,4,24,,G_repetition
classical_basic_02,classical,basic,44.69071969899517,69.0,95.0,100.0,88.0,62.0,80.9,68.2,95.7,79.3,95.0,0.59,0.919,1.0,1.0,959,5,72,,G_repetition+G_density
classical_basic_03,classical,basic,34.27524323845905,69.0,100.0,80.0,83.0,53.8,94.9,74.8,97.2,68.0,85.5,0.772,1.0,0.523,1.0,431,5,48,,G_repetition+G_balance
classical_basic_04,classical,basic,80.0647112349448,56.0,90.0,80.1,75.4,78.2,82.5,68.2,98.1,60.4,100.0,1.0,1.0,1.0,1.0,405,4,32,,axis_deduction
constraint_01,pop,constraint,19.111824856454945,65.0,100.0,62.0,75.7,41.7,86.2,89.4,95.9,73.0,97.0,0.219,1.0,1.0,1.0,645,4,32,,G_repetition
constraint_02,jazz,constraint,16.77811513585985,44.0,75.0,77.0,65.3,36.2,84.8,42.6,93.0,63.0,98.9,0.224,1.0,1.0,1.0,739,4,32,,G_repetition
constraint_03,classical,constraint,32.43651836465187,44.0,60.0,32.4,45.5,37.7,83.8,72.1,100.0,63.0,89.5,1.0,1.0,0.4,1.0,532,4,48,,G_balance
constraint_04,lofi,constraint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,generation failed,generation_error
constraint_05,touhou,constraint,6.62920913326825,40.0,67.0,80.0,62.3,28.9,55.3,75.0,91.6,63.0,100.0,0.152,1.0,0.603,1.0,678,4,28,,G_repetition+G_balance
constraint_06,pop,constraint,53.27767804663011,94.0,75.0,72.0,80.3,64.1,87.0,74.7,86.0,85.0,95.0,0.629,1.0,1.0,1.0,175,3,16,,G_repetition
constraint_07,jazz,constraint,41.715033576989406,25.0,75.0,60.0,53.3,46.3,83.6,100.0,73.5,83.3,70.0,1.0,0.5,1.0,1.0,224,4,20,,G_density
constraint_08,lofi,constraint,27.84828046881511,69.0,75.0,78.0,74.0,46.3,71.6,75.0,88.1,93.0,100.0,0.438,1.0,0.768,1.0,1234,5,64,,G_repetition+G_balance
hard_01,jazz,hard,36.6197214568562,50.0,20.0,80.0,50.0,42.0,73.9,70.4,87.3,62.0,60.8,0.507,1.0,1.0,1.0,811,4,40,,G_repetition
hard_02,touhou,hard,0.0,82.0,30.0,85.0,65.7,26.3,89.8,75.0,94.8,70.0,100.0,0.0,1.0,0.4,1.0,1066,5,28,,G_repetition+G_balance
hard_03,pop,hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,generation failed,generation_error
hard_04,classical,hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464,4,32,invalid composition,generation_error
hard_05,lofi,hard,40.46812628422403,31.0,0.0,80.0,37.0,39.1,79.0,75.0,68.8,92.3,100.0,1.0,0.5,1.0,1.0,173,4,24,,G_density
hard_06,pop,hard,50.33098919550539,88.0,100.0,60.0,82.7,63.3,90.0,75.9,86.0,85.0,75.0,1.0,1.0,1.0,0.6,87,4,4,,G_spread
jazz_basic_01,jazz,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,generation failed,generation_error
jazz_basic_02,jazz,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,generation failed,generation_error
jazz_basic_03,jazz,basic,19.42794236443865,75.0,67.0,19.4,53.8,33.2,87.2,65.7,91.7,73.0,70.0,0.613,1.0,0.4,1.0,528,4,32,,G_repetition+G_balance
jazz_basic_04,jazz,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,generation failed,generation_error
lofi_basic_01,lofi,basic,20.838235728710043,38.0,95.0,60.0,64.3,38.2,77.4,35.0,93.0,68.0,100.0,0.719,1.0,0.4,1.0,412,5,20,,G_repetition+G_balance
lofi_basic_02,lofi,basic,4.802146365924494,44.0,100.0,40.0,61.3,27.4,83.6,26.0,86.0,57.1,100.0,0.174,1.0,0.4,1.0,360,5,24,,G_repetition+G_balance
lofi_basic_03,lofi,basic,4.754897643035169,44.0,67.0,50.0,53.7,24.3,89.6,69.0,93.0,68.0,100.0,0.143,1.0,0.4,1.0,373,5,24,,G_repetition+G_balance
lofi_basic_04,lofi,basic,12.400004979871449,31.0,50.0,60.0,47.0,26.2,81.6,91.4,79.0,88.0,100.0,0.548,0.5,0.526,1.0,328,4,28,,G_repetition+G_density+G_balance
pop_basic_01,pop,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,generation failed,generation_error
pop_basic_02,pop,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,generation failed,generation_error
pop_basic_03,pop,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,generation failed,generation_error
pop_basic_04,pop,basic,18.666470376276454,75.0,85.0,84.0,81.3,43.7,83.1,69.9,86.0,75.0,100.0,0.23,1.0,1.0,1.0,1074,4,52,,G_repetition
touhou_basic_01,touhou,basic,5.885554660546332,80.0,95.0,85.0,86.7,38.2,78.3,74.1,94.8,68.0,82.3,0.186,1.0,0.4,1.0,977,6,28,,G_repetition+G_balance
touhou_basic_02,touhou,basic,2.374840288663404,42.0,95.0,80.0,72.3,30.3,86.7,65.0,91.6,68.0,100.0,0.053,0.552,1.0,1.0,1722,6,32,,G_repetition+G_density
touhou_basic_03,touhou,basic,13.198990009307378,55.0,90.0,80.0,75.0,37.9,89.5,71.3,80.1,63.0,100.0,0.268,1.0,0.618,1.0,853,5,24,,G_repetition+G_balance
touhou_basic_04,touhou,basic,13.76188440981632,30.0,85.0,60.0,58.3,31.6,89.9,71.1,93.0,68.0,100.0,0.413,1.0,0.4,1.0,821,4,28,,G_repetition+G_balance
